# Licensed under Apache License 2.0 — https://www.apache.org/licenses/LICENSE-2.0
# Copyright 2026 SemiAnalysis LLC. Data from InferenceX (https://github.com/SemiAnalysisAI/InferenceX).
# Attribution to InferenceX is required for any derivative work.
#
# Merged + deduped from 3 dashboard exports (InferenceX_DeepSeek-R1-0528_e2e (1|2|3).csv in
# gs://REDACTED-GCS-BUCKET/mlperf_results/); rows verified identical where duplicated.
#
# UNIT WARNING (verified 2026-08-01, same as the DSv4 CSV): the "(ms)" latency columns
# (TTFT/TPOT/ITL/E2E) are actually SECONDS — proven by Interactivity == 1/TPOT holding
# exactly on all rows only under that reading. Multiply by 1000 for true ms.
Model,ISL,OSL,Hardware,Hardware Key,Framework,Precision,TP,Concurrency,Date,Throughput/GPU (tok/s),Output Throughput/GPU (tok/s),Input Throughput/GPU (tok/s),Mean TTFT (ms),Median TTFT (ms),P99 TTFT (ms),Std TTFT (ms),Mean TPOT (ms),Median TPOT (ms),P99 TPOT (ms),Std TPOT (ms),Mean Interactivity (tok/s/user),Median Interactivity (tok/s/user),P99 Interactivity (tok/s/user),Std Interactivity (tok/s/user),Mean ITL (ms),Median ITL (ms),P99 ITL (ms),Std ITL (ms),Mean E2E Latency (ms),Median E2E Latency (ms),P99 E2E Latency (ms),Std E2E Latency (ms),Disaggregated,Num Prefill GPUs,Num Decode GPUs,Spec Decoding,EP,DP Attention,Is Multinode
DeepSeek-R1-0528,8192,1024,gb300,gb300_dynamo-sglang,dynamo-sglang,fp8,8,4,2026-02-09,405.12638474587493,90.12331156754819,720.1294579242017,0.6476747548062122,0.42928765804390423,1.999118808333878,0.4612876251506903,0.010098589262580494,0.010152207827900061,0.01022756223976897,0.0001635691509580941,99.02373232520895,98.50074160734016,97.77500997369525,6113.622245653136,0.10051310308558781,0.10189219450694509,0.10335385035839863,0.0066251634028969,9.93005968475627,9.89209064701572,11.868820968888468,0.8426377187973096,true,4,4,none,1,false,true
DeepSeek-R1-0528,8192,1024,gb300,gb300_dynamo-sglang,dynamo-sglang,fp8,8,8,2026-02-09,647.7744922415201,145.62387546956603,1149.9251090134742,0.7676116940121573,0.4611185025132727,2.892787911387277,0.5990192992176149,0.012616736329749268,0.012657793856666611,0.012888103376991703,0.00022026510780051472,79.25980014673677,79.00270863341005,77.5909356674804,4539.983704117403,0.1255813771152334,0.1270312099950388,0.130366416873876,0.008320314995608844,12.4388308196656,12.419359927502228,15.539687440404666,1.119719368704937,true,4,4,none,1,false,true
DeepSeek-R1-0528,8192,1024,gb300,gb300_dynamo-sglang,dynamo-sglang,fp8,72,128,2026-02-09,914.306498862921,227.83820927728613,1463.481130531429,1.5075152412114448,1.299138125992613,4.118493076882734,0.965022424781884,0.015285266387665374,0.015252615768395563,0.015730957159390144,0.00018767958462103277,65.42247774019573,65.56252482751626,63.56892272146827,5328.230036416719,0.7447851290981712,0.7540560119959991,0.8841659412870649,0.1017548610089236,15.556606506107574,15.4968458545045,18.85186917308689,1.3525700508519256,true,40,32,none,32,true,true
DeepSeek-R1-0528,8192,1024,gb300,gb300_dynamo-sglang,dynamo-sglang,fp8,72,256,2026-02-09,1713.469111826265,428.45422501410854,2741.4810212759903,1.916298988766846,1.6461887930054218,5.95401669761457,1.1624550409194807,0.015779133925208445,0.015671225892118223,0.016494211420672623,0.00030061846911049286,63.374834432605894,63.81121725154544,60.627330067242504,3326.4755919984686,0.7682011809821181,0.7775356110068969,1.0069462421233768,0.11089892166325326,16.44850467261299,16.36771113050054,20.487529259385447,1.511555014861071,true,40,32,none,32,true,true
DeepSeek-R1-0528,8192,1024,gb300,gb300_dynamo-sglang,dynamo-sglang,fp8,72,512,2026-02-09,3093.3190218734458,773.2742829585972,4949.354813005325,2.689235305101545,2.454191811484634,9.148843094070909,1.6492770646303356,0.016758976111717415,0.01670770874894377,0.017353455817173798,0.0002864858460164793,59.669516403262094,59.8526114517778,57.625409632262,3490.573841272695,0.8157990539531744,0.8304952380130999,1.03450310247601,0.11571120868668756,18.124567588158463,17.91883411598974,25.033850305079543,1.9667994255871526,true,40,32,none,32,true,true
DeepSeek-R1-0528,8192,1024,gb300,gb300_dynamo-sglang,dynamo-sglang,fp8,72,1024,2026-02-09,5418.338320961513,1354.6991461139069,8669.249660839598,3.8327567042227026,3.1256307775038294,16.24722122081411,2.7425123185782,0.018470859040599703,0.018514539636047676,0.01894301363008788,0.00032794595376649835,54.139333628282216,54.01160491471293,52.78991080973851,3049.282933711732,0.899799829975768,0.9210214380000252,1.0301594673888759,0.12225040148561349,20.83941274274687,20.262712650495814,33.88273568208359,3.00167862012899,true,40,32,none,32,true,true
DeepSeek-R1-0528,8192,1024,gb300,gb300_dynamo-sglang,dynamo-sglang,fp8,72,2048,2026-02-09,7508.83904311548,2504.9808644237023,10010.76813246137,5.0522585833709925,3.638041700483882,27.541251750543864,4.763792273298099,0.027380961526896296,0.027948194598167313,0.028397425512808175,0.0015625316141663105,36.521726931236536,35.78048651720689,35.21445983013379,639.9870510994751,1.3336834749598037,1.389719367507496,1.5476560659855019,0.20230331353113037,30.28245004251455,29.520551034001983,52.39644556049839,4.835632342859415,true,48,24,none,24,true,true
DeepSeek-R1-0528,8192,1024,gb300,gb300_dynamo-sglang,dynamo-sglang,fp8,72,4096,2026-02-09,8579.096732029091,2858.9306047300247,11439.179795678625,24.447990171461306,23.726798291507293,53.93114242414797,11.57405463904048,0.030081779800051844,0.03049863812488955,0.031100854518163155,0.0016288760201688404,33.2427139167569,32.78834929956799,32.15345737256163,613.9202662559582,1.4648207525340704,1.5122451260103844,1.7926140621933155,0.24086917740951322,52.13464005682429,51.5319640495145,82.39916954837389,11.874800671948524,true,48,24,none,24,true,true
